algo	case	base_case	run_exit	sla0	sla1	energy_kwh	runtime_s	pass
ConsolidationSleep	day_seed101.md	day.md	0	0	0	64.0118	86400.8	YES
ConsolidationSleep	day_seed202.md	day.md	0	0	0	64.0117	86400.7	YES
ConsolidationSleep	gentler_hour_seed101.md	gentler_hour.md	0	0	0	7.25695	3604.98	YES
ConsolidationSleep	gentler_hour_seed202.md	gentler_hour.md	0	0	0	7.2541	3603.48	YES
ConsolidationSleep	match_seed101.md	match.md	0	0	0	0.0498111	20.94	YES
ConsolidationSleep	match_seed202.md	match.md	0	0	0	0.0480313	20.16	YES
ConsolidationSleep	smooth_seed101.md	smooth.md	0	0	0	0.0115671	15.6	YES
ConsolidationSleep	smooth_seed202.md	smooth.md	0	0	0	0.0115378	15.54	YES
ThresholdSLA	day_seed101.md	day.md	0	0	0	64.0118	86400.8	YES
ThresholdSLA	day_seed202.md	day.md	0	0	0	64.0117	86400.7	YES
ThresholdSLA	gentler_hour_seed101.md	gentler_hour.md	0	0	0	7.25628	3604.98	YES
ThresholdSLA	gentler_hour_seed202.md	gentler_hour.md	0	0	0	7.25402	3603.48	YES
ThresholdSLA	match_seed101.md	match.md	0	0	0	0.0496331	20.94	YES
ThresholdSLA	match_seed202.md	match.md	0	0	0	0.0478657	20.16	YES
ThresholdSLA	smooth_seed101.md	smooth.md	0	0	0	0.0115671	15.6	YES
ThresholdSLA	smooth_seed202.md	smooth.md	0	0	0	0.0115378	15.54	YES
AdaptiveHybrid	day_seed101.md	day.md	0	0	0	64.0118	86400.8	YES
AdaptiveHybrid	day_seed202.md	day.md	0	0	0	64.0117	86400.7	YES
AdaptiveHybrid	gentler_hour_seed101.md	gentler_hour.md	0	0	0	7.25703	3604.98	YES
AdaptiveHybrid	gentler_hour_seed202.md	gentler_hour.md	0	0	0	7.25427	3603.48	YES
AdaptiveHybrid	match_seed101.md	match.md	0	0	0	0.0506208	21.3	YES
AdaptiveHybrid	match_seed202.md	match.md	0	0	0	0.047638	19.86	YES
AdaptiveHybrid	smooth_seed101.md	smooth.md	0	0	0	0.0115671	15.6	YES
AdaptiveHybrid	smooth_seed202.md	smooth.md	0	0	0	0.0115378	15.54	YES
